Rank,Team,GM,W-L,Fouls,PFPG,DQ
284,A&M-Corpus Christi (Southland),30,6-24,592,19.7,8
82,Air Force (Mountain West),29,13-16,491,16.9,8
179,Akron (MAC),34,22-12,616,18.1,10
334,Alabama A&M (SWAC),28,7-21,617,22,13
287,Alabama St. (SWAC),31,12-19,613,19.8,15
196,Alabama (SEC),33,21-12,607,18.4,10
87,Albany (NY) (America East),34,19-15,578,17,9
266,Alcorn (SWAC),32,10-22,621,19.4,26
87,American (Patriot),32,20-12,544,17,6
278,App State (SoCon),31,13-18,609,19.6,19
141,Arizona St. (Pac-12),31,10-21,548,17.7,13
69,Arizona (Pac-12),35,23-12,588,16.8,11
186,Ark.-Pine Bluff (SWAC),33,11-22,601,18.2,16
23,Arkansas St. (Sun Belt),34,14-20,533,15.7,10
257,Arkansas (SEC),32,18-14,618,19.3,12
261,Army West Point (Patriot),30,12-18,581,19.4,17
205,Auburn (SEC),31,15-16,573,18.5,10
160,Austin Peay (OVC),32,12-20,574,17.9,18
58,Ball St. (MAC),30,15-15,501,16.7,3
148,Baylor (Big 12),38,30-8,674,17.7,10
173,Belmont (ASUN),35,27-8,631,18,9
231,Bethune-Cookman (MEAC),35,18-17,663,18.9,12
156,Binghamton (America East),31,2-29,554,17.9,11
180,Boise St. (Mountain West),30,13-17,544,18.1,9
25,Boston College (ACC),31,9-22,490,15.8,5
67,Boston U. (America East),32,16-16,537,16.8,10
74,Bowling Green (MAC),32,16-16,538,16.8,8
98,Bradley (MVC),32,7-25,550,17.2,11
33,Brown (Ivy League),31,8-23,497,16,10
87,Bucknell (Patriot),35,25-10,595,17,9
143,Buffalo (MAC),31,20-11,549,17.7,9
258,Butler (Horizon),37,22-15,715,19.3,16
184,BYU (WCC),35,26-9,637,18.2,15
168,Cal Poly (Big West),33,18-15,594,18,7
269,Cal St. Fullerton (Big West),31,21-10,603,19.5,15
6,California (Pac-12),34,24-10,489,14.4,8
306,Campbell (Big South),32,17-15,648,20.3,23
165,Canisius (MAAC),30,5-25,539,18,16
307,Central Ark. (Southland),29,8-21,588,20.3,8
218,Central Conn. St. (NEC),29,13-16,541,18.7,9
283,Central Mich. (MAC),32,11-21,631,19.7,16
181,Charleston So. (Big South),31,19-12,563,18.2,7
189,Charlotte (Atlantic 10),30,13-17,548,18.3,7
111,Chattanooga (SoCon),32,11-21,555,17.3,9
320,Chicago St. (GWC),30,4-26,626,20.9,26
16,Cincinnati (AAC),37,26-11,570,15.4,13
37,Clemson (ACC),31,16-15,499,16.1,8
323,Cleveland St. (Horizon),33,22-11,693,21,18
113,Coastal Carolina (Big South),31,19-12,538,17.4,4
33,Col. of Charleston (SoCon),31,19-12,497,16,13
242,Colgate (Patriot),30,8-22,572,19.1,12
229,Colorado St. (Mountain West),32,20-12,606,18.9,18
92,Colorado (Pac-12),36,24-12,614,17.1,9
91,Columbia (Ivy League),30,15-15,511,17,11
58,Coppin St. (MEAC),30,14-16,501,16.7,11
297,Cornell (Ivy League),28,12-16,558,19.9,16
81,Creighton (MVC),35,29-6,592,16.9,6
291,CSU Bakersfield (Independent),31,16-15,614,19.8,11
337,CSUN (Big West),28,7-21,627,22.4,12
215,Dartmouth (Ivy League),30,5-25,558,18.6,12
309,Davidson (SoCon),33,25-8,673,20.4,21
222,Dayton (Atlantic 10),33,20-13,617,18.7,9
46,Delaware St. (MEAC),29,15-14,472,16.3,11
154,Delaware (CAA),32,18-14,571,17.8,12
183,Denver (Sun Belt),31,22-9,564,18.2,10
315,DePaul (AAC),31,12-19,637,20.5,16
232,Detroit Mercy (Horizon),36,22-14,684,19,14
302,Drake (MVC),34,18-16,686,20.2,20
164,Drexel (CAA),36,29-7,646,17.9,18
198,Duke (ACC),34,27-7,626,18.4,14
124,Duquesne (Atlantic 10),31,16-15,541,17.5,9
168,East Carolina (C-USA),31,15-16,558,18,15
105,Eastern Ill. (OVC),29,12-17,501,17.3,10
280,Eastern Ky. (OVC),32,16-16,629,19.7,14
97,Eastern Mich. (MAC),32,14-18,549,17.2,16
338,Eastern Wash. (Big Sky),32,15-17,723,22.6,37
195,Elon (SoCon),31,15-16,570,18.4,12
73,ETSU (ASUN),31,17-14,521,16.8,21
328,Evansville (MVC),32,16-16,680,21.3,22
190,Fairfield (MAAC),37,22-15,677,18.3,12
225,Fairleigh Dickinson (NEC),29,3-26,544,18.8,16
244,FGCU (ASUN),32,15-17,612,19.1,10
304,FIU (Sun Belt),29,8-21,586,20.2,24
245,Fla. Atlantic (Sun Belt),30,11-19,574,19.1,17
308,Florida A&M (MEAC),33,10-23,671,20.3,16
219,Florida St. (ACC),35,25-10,653,18.7,13
19,Florida (SEC),37,26-11,575,15.5,6
152,Fordham (Atlantic 10),29,10-19,516,17.8,14
255,Fresno St. (WAC),33,13-20,637,19.3,23
241,Furman (SoCon),31,15-16,591,19.1,14
261,Ga. Southern (SoCon),30,15-15,581,19.4,10
