Rank,Team,GM,W-L,Fouls,PFPG,DQ
259,Gardner-Webb (Big South),32,12-20,619,19.3,18
281,George Mason (CAA),33,24-9,650,19.7,12
149,George Washington (Atlantic 10),31,10-21,550,17.7,6
127,Georgetown (AAC),33,24-9,578,17.5,8
35,Georgia St. (CAA),34,22-12,546,16.1,12
53,Georgia Tech (ACC),31,11-20,513,16.5,5
109,Georgia (SEC),32,15-17,554,17.3,14
20,Gonzaga (WCC),33,26-7,514,15.6,3
51,Grambling (SWAC),28,4-24,461,16.5,12
155,Green Bay (Horizon),30,15-15,536,17.9,5
196,Hampton (MEAC),33,12-21,607,18.4,9
291,Hartford (America East),31,9-22,614,19.8,21
14,Harvard (Ivy League),31,26-5,473,15.3,3
251,Hawaii (WAC),32,16-16,617,19.3,24
216,High Point (Big South),31,13-18,577,18.6,9
214,Hofstra (CAA),32,10-22,595,18.6,15
138,Holy Cross (Patriot),29,15-14,512,17.7,7
331,Houston Baptist (GWC),30,10-20,655,21.8,16
63,Houston (C-USA),30,15-15,502,16.7,11
336,Howard (MEAC),31,10-21,691,22.3,19
289,Idaho St. (Big Sky),30,9-21,594,19.8,11
96,Idaho (WAC),33,19-14,566,17.2,6
69,Illinois St. (MVC),35,21-14,588,16.8,10
140,Illinois (Big Ten),32,17-15,565,17.7,12
50,Indiana St. (MVC),33,18-15,543,16.5,8
131,Indiana (Big Ten),36,27-9,632,17.6,6
84,Iona (MAAC),33,25-8,559,16.9,9
36,Iowa St. (Big 12),34,23-11,547,16.1,5
65,Iowa (Big Ten),35,18-17,586,16.7,11
115,IUPUI (Summit League),32,14-18,556,17.4,6
253,Jackson St. (SWAC),31,7-24,598,19.3,13
250,Jacksonville St. (OVC),33,15-18,636,19.3,17
335,Jacksonville (ASUN),30,8-22,665,22.2,18
271,James Madison (CAA),32,12-20,624,19.5,25
237,Kansas City (Summit League),31,10-21,590,19,17
299,Kansas St. (Big 12),33,22-11,662,20.1,13
119,Kansas (Big 12),39,32-7,678,17.4,8
99,Kennesaw St. (ASUN),31,3-28,533,17.2,10
68,Kent St. (MAC),33,21-12,554,16.8,7
9,Kentucky (SEC),40,38-2,593,14.8,10
118,La Salle (Atlantic 10),34,21-13,591,17.4,13
260,Lafayette (Patriot),31,13-18,600,19.4,5
103,Lamar University (Southland),35,23-12,604,17.3,10
166,Lehigh (Patriot),35,27-8,629,18,7
111,Liberty (Big South),32,14-18,555,17.3,5
107,Lipscomb (ASUN),31,13-18,536,17.3,16
278,Little Rock (Sun Belt),31,15-16,609,19.6,10
22,LIU (NEC),34,25-9,531,15.6,15
128,LMU (CA) (WCC),34,21-13,596,17.5,14
17,Long Beach St. (Big West),34,25-9,527,15.5,9
30,Longwood (Independent),31,10-21,495,16,14
296,Louisiana Tech (WAC),34,18-16,677,19.9,14
301,Louisiana (Sun Belt),32,16-16,644,20.1,8
137,Louisville (AAC),40,30-10,706,17.7,16
48,Loyola Chicago (Horizon),30,7-23,491,16.4,7
235,Loyola Maryland (MAAC),33,24-9,628,19,16
162,LSU (SEC),33,18-15,592,17.9,11
213,Maine (America East),29,12-17,539,18.6,22
310,Manhattan (MAAC),34,21-13,694,20.4,10
44,Marist (MAAC),32,14-18,520,16.3,10
144,Marquette (AAC),35,27-8,620,17.7,5
305,Marshall (C-USA),35,21-14,708,20.2,19
133,Maryland (ACC),32,17-15,563,17.6,12
313,Massachusetts (Atlantic 10),37,25-12,759,20.5,25
147,McNeese (Southland),33,17-16,585,17.7,17
232,Memphis (C-USA),35,26-9,665,19,13
232,Mercer (ASUN),38,27-11,722,19,14
47,Miami (FL) (ACC),33,20-13,539,16.3,14
69,Miami (OH) (MAC),30,9-21,504,16.8,9
132,Michigan St. (Big Ten),37,29-8,650,17.6,6
21,Michigan (Big Ten),34,24-10,530,15.6,11
282,Middle Tenn. (Sun Belt),34,27-7,670,19.7,7
94,Milwaukee (Horizon),34,20-14,582,17.1,6
206,Minnesota (Big Ten),38,23-15,703,18.5,13
2,Mississippi St. (SEC),33,21-12,457,13.8,8
314,Mississippi Val. (SWAC),34,21-13,698,20.5,24
206,Missouri St. (MVC),32,16-16,592,18.5,15
5,Missouri (Big 12),35,30-5,499,14.3,11
317,Monmouth (NEC),32,12-20,663,20.7,24
277,Montana St. (Big Sky),29,12-17,569,19.6,11
191,Montana (Big Sky),32,25-7,586,18.3,10
223,Morehead St. (OVC),33,18-15,618,18.7,16
228,Morgan St. (MEAC),29,9-20,549,18.9,10
201,Mount St. Mary's (NEC),29,8-21,535,18.4,14
157,Murray St. (OVC),33,31-2,591,17.9,12
251,N.C. A&T (MEAC),32,12-20,617,19.3,10
199,N.C. Central (MEAC),32,17-15,590,18.4,13
185,Navy (Patriot),29,3-26,528,18.2,12
77,NC State (ACC),37,24-13,623,16.8,15
52,Nebraska (Big Ten),30,12-18,496,16.5,10
42,Nevada (WAC),35,28-7,568,16.2,9
176,New Hampshire (America East),29,13-16,524,18.1,10
126,New Mexico St. (WAC),36,26-10,630,17.5,16
120,New Mexico (Mountain West),35,28-7,609,17.4,6
332,Niagara (MAAC),33,14-19,721,21.8,26
274,Nicholls (Southland),30,10-20,587,19.6,22
303,NJIT (GWC),32,15-17,646,20.2,14
271,Norfolk St. (MEAC),36,26-10,702,19.5,12
8,North Carolina (ACC),38,32-6,551,14.5,3
269,North Dakota St. (Summit League),31,17-14,603,19.5,18
199,North Florida (ASUN),32,16-16,590,18.4,11
129,North Texas (Sun Belt),32,18-14,561,17.5,6
217,Northeastern (CAA),31,14-17,578,18.6,19
38,Northern Ariz. (Big Sky),29,5-24,467,16.1,9
294,Northern Colo. (Big Sky),28,9-19,556,19.9,11
300,Northern Ill. (MAC),31,5-26,623,20.1,15
288,Northwestern St. (Southland),32,16-16,633,19.8,4
29,Northwestern (Big Ten),33,19-14,526,15.9,9
1,Notre Dame (AAC),34,22-12,470,13.8,10
187,Oakland (Summit League),36,20-16,656,18.2,15
40,Ohio St. (Big Ten),39,31-8,630,16.2,4
275,Ohio (MAC),37,29-8,724,19.6,13
239,Oklahoma St. (Big 12),33,15-18,629,19.1,15
113,Oklahoma (Big 12),31,15-16,538,17.4,7
193,Old Dominion (CAA),36,22-14,661,18.4,18
168,Ole Miss (SEC),34,20-14,612,18,23
76,Oral Roberts (Summit League),34,27-7,572,16.8,15
220,Oregon St. (Pac-12),36,21-15,672,18.7,9
95,Oregon (Pac-12),34,24-10,583,17.1,9
102,Pacific (Big West),30,11-19,517,17.2,7
295,Penn St. (Big Ten),32,12-20,636,19.9,19
276,Penn (Ivy League),33,20-13,647,19.6,9
178,Pepperdine (WCC),29,10-19,525,18.1,8
100,Pittsburgh (AAC),39,22-17,671,17.2,7
78,Portland St. (Big Sky),32,17-15,539,16.8,13
318,Portland (WCC),31,7-24,645,20.8,18
266,Prairie View (SWAC),32,14-18,621,19.4,7
49,Princeton (Ivy League),32,20-12,524,16.4,9
83,Providence (AAC),32,15-17,542,16.9,12
286,Purdue Fort Wayne (Summit League),30,11-19,593,19.8,10
144,Purdue (Big Ten),35,22-13,620,17.7,8
312,Quinnipiac (NEC),32,18-14,655,20.5,17
321,Radford (Big South),32,6-26,669,20.9,12
174,Rhode Island (Atlantic 10),31,7-24,559,18,14
136,Rice (C-USA),35,19-16,617,17.6,5
129,Richmond (Atlantic 10),32,16-16,561,17.5,8
123,Rider (MAAC),32,13-19,558,17.4,11
316,Robert Morris (NEC),37,26-11,766,20.7,25
325,Rutgers (AAC),32,14-18,673,21,16
243,Sacramento St. (Big Sky),28,10-18,535,19.1,9
194,Sacred Heart (NEC),32,14-18,588,18.4,19
117,Saint Francis (PA) (NEC),29,6-23,504,17.4,12
13,Saint Joseph's (Atlantic 10),34,20-14,517,15.2,16
64,Saint Louis (Atlantic 10),34,26-8,569,16.7,10
31,Saint Mary's (CA) (WCC),33,27-6,527,16,4
253,Saint Peter's (MAAC),31,5-26,598,19.3,20
203,Sam Houston (Southland),32,13-19,591,18.5,16
110,Samford (SoCon),30,11-19,520,17.3,7
32,San Diego St. (Mountain West),34,26-8,543,16,9
188,San Diego (WCC),31,13-18,565,18.2,14
158,San Francisco (WCC),34,20-14,609,17.9,12
141,San Jose St. (WAC),31,9-22,548,17.7,12
319,Santa Clara (WCC),30,8-22,625,20.8,15
227,Savannah St. (MEAC),33,21-12,621,18.8,13
151,Seton Hall (AAC),34,21-13,604,17.8,19
61,SFA (Southland),32,20-12,535,16.7,6
3,Siena (MAAC),31,14-17,432,13.9,13
85,SMU (C-USA),32,13-19,543,17,14
105,South Alabama (Sun Belt),29,17-12,501,17.3,8
181,South Carolina St. (MEAC),31,5-26,563,18.2,12
177,South Carolina (SEC),31,10-21,561,18.1,9
41,South Dakota St. (Summit League),35,27-8,567,16.2,5
15,South Fla. (AAC),36,22-14,552,15.3,7
226,Southeast Mo. St. (OVC),31,15-16,582,18.8,16
135,Southeastern La. (Southland),29,12-17,511,17.6,15
10,Southern California (Pac-12),32,6-26,476,14.9,6
329,Southern Ill. (MVC),31,8-23,662,21.4,15
246,Southern Miss. (C-USA),34,25-9,651,19.1,18
265,Southern U. (SWAC),31,17-14,601,19.4,14
311,Southern Utah (Summit League),31,14-17,633,20.4,22
206,St. Bonaventure (Atlantic 10),32,20-12,592,18.5,9
330,St. Francis Brooklyn (NEC),30,15-15,643,21.4,15
57,St. John's (NY) (AAC),32,13-19,533,16.7,13
263,Stanford (Pac-12),37,26-11,717,19.4,15
256,Stetson (ASUN),29,9-20,560,19.3,16
12,Stony Brook (America East),32,22-10,483,15.1,6
18,Syracuse (AAC),37,34-3,574,15.5,12
235,TCU (Mountain West),33,18-15,628,19,15
146,Temple (Atlantic 10),32,24-8,567,17.7,7
202,Tennessee St. (OVC),33,20-13,609,18.5,7
239,Tennessee Tech (OVC),33,19-14,629,19.1,14
204,Tennessee (SEC),34,19-15,628,18.5,12
160,Texas A&M (Big 12),32,14-18,574,17.9,14
162,Texas Southern (SWAC),33,15-18,592,17.9,11
322,Texas St. (Southland),30,13-17,629,21,13
327,Texas Tech (Big 12),31,8-23,658,21.2,17
264,Texas (Big 12),34,20-14,659,19.4,23
54,The Citadel (SoCon),30,6-24,497,16.6,11
72,Toledo (MAC),36,19-17,605,16.8,8
192,Towson (CAA),32,1-31,587,18.3,17
93,Troy (Sun Belt),28,10-18,478,17.1,12
56,Tulane (C-USA),31,15-16,515,16.6,5
211,Tulsa (C-USA),31,17-14,575,18.5,18
28,UAB (C-USA),31,15-16,494,15.9,9
210,UC Davis (Big West),31,5-26,574,18.5,17
221,UC Irvine (Big West),32,12-20,598,18.7,12
107,UC Riverside (Big West),31,14-17,536,17.3,15
124,UC Santa Barbara (Big West),31,20-11,541,17.5,7
62,UCF (C-USA),33,22-11,552,16.7,10
86,UCLA (Pac-12),33,19-14,560,17,11
7,UConn (AAC),34,20-14,492,14.5,6
249,UIC (Horizon),30,8-22,578,19.3,18
138,ULM (Sun Belt),29,3-26,512,17.7,21
323,UMBC (America East),30,4-26,630,21,18
298,UMES (MEAC),30,7-23,599,20,19
168,UNC Asheville (Big South),34,24-10,612,18,10
326,UNC Greensboro (SoCon),32,13-19,675,21.1,13
153,UNCW (CAA),31,10-21,552,17.8,10
24,UNI (MVC),34,20-14,534,15.7,10
103,UNLV (Mountain West),35,26-9,604,17.3,14
271,USC Upstate (ASUN),34,21-13,663,19.5,13
247,UT Arlington (Southland),33,24-9,632,19.2,7
268,UT Martin (OVC),31,4-27,602,19.4,18
167,Utah St. (WAC),37,21-16,665,18,18
27,Utah Valley (GWC),33,20-13,524,15.9,9
55,Utah (Pac-12),31,6-25,514,16.6,12
79,UTEP (C-USA),32,15-17,540,16.9,21
150,UTRGV (GWC),32,11-21,568,17.8,11
121,UTSA (Southland),32,18-14,557,17.4,13
101,Valparaiso (Horizon),34,22-12,585,17.2,21
39,Vanderbilt (SEC),36,25-11,580,16.1,9
159,VCU (CAA),36,29-7,645,17.9,7
122,Vermont (America East),36,24-12,627,17.4,7
248,Villanova (AAC),32,13-19,613,19.2,22
134,Virginia Tech (ACC),33,16-17,581,17.6,12
26,Virginia (ACC),32,22-10,506,15.8,6
223,VMI (Big South),33,17-16,618,18.7,8
333,Wagner (NEC),31,25-6,681,22,19
60,Wake Forest (ACC),31,13-18,518,16.7,14
116,Washington St. (Pac-12),37,19-18,643,17.4,15
289,Washington (Pac-12),35,24-11,693,19.8,16
175,Weber St. (Big Sky),32,25-7,578,18.1,14
75,West Virginia (AAC),33,19-14,555,16.8,9
238,Western Caro. (SoCon),35,17-18,667,19.1,14
11,Western Ill. (Summit League),33,18-15,496,15,10
285,Western Ky. (Sun Belt),35,16-19,691,19.7,13
230,Western Mich. (MAC),34,14-20,644,18.9,12
66,Wichita St. (MVC),33,27-6,553,16.8,5
90,William & Mary (CAA),32,6-26,545,17,13
212,Winthrop (Big South),32,12-20,594,18.6,14
4,Wisconsin (Big Ten),36,26-10,512,14.2,6
43,Wofford (SoCon),33,19-14,536,16.2,8
293,Wright St. (Horizon),32,13-19,635,19.8,19
80,Wyoming (Mountain West),33,21-12,557,16.9,12
206,Xavier (Atlantic 10),36,23-13,666,18.5,10
168,Yale (Ivy League),29,19-10,522,18,5
45,Youngstown St. (Horizon),31,16-15,504,16.3,7
