Rank,Team,GM,W-L,OPP PTS,OPP PPG
191,A&M-Corpus Christi (Southland),30,6-24,"2,030",67.7
48,Air Force (Mountain West),29,13-16,"1,798",62
134,Akron (MAC),34,22-12,"2,241",65.9
254,Alabama A&M (SWAC),28,7-21,"1,964",70.1
97,Alabama St. (SWAC),31,12-19,"1,995",64.4
9,Alabama (SEC),33,21-12,"1,918",58.1
231,Albany (NY) (America East),34,19-15,"2,351",69.1
213,Alcorn (SWAC),32,10-22,"2,187",68.3
52,American (Patriot),32,20-12,"1,991",62.2
255,App State (SoCon),31,13-18,"2,175",70.2
154,Arizona St. (Pac-12),31,10-21,"2,056",66.3
62,Arizona (Pac-12),35,23-12,"2,196",62.7
236,Ark.-Pine Bluff (SWAC),33,11-22,"2,291",69.4
130,Arkansas St. (Sun Belt),34,14-20,"2,239",65.9
245,Arkansas (SEC),32,18-14,"2,231",69.7
243,Army West Point (Patriot),30,12-18,"2,091",69.7
88,Auburn (SEC),31,15-16,"1,983",64
293,Austin Peay (OVC),32,12-20,"2,324",72.6
30,Ball St. (MAC),30,15-15,"1,822",60.7
117,Baylor (Big 12),38,30-8,"2,483",65.3
185,Belmont (ASUN),35,27-8,"2,363",67.5
151,Bethune-Cookman (MEAC),35,18-17,"2,319",66.3
266,Binghamton (America East),31,2-29,"2,193",70.7
152,Boise St. (Mountain West),30,13-17,"1,988",66.3
219,Boston College (ACC),31,9-22,"2,125",68.5
81,Boston U. (America East),32,16-16,"2,034",63.6
87,Bowling Green (MAC),32,16-16,"2,046",63.9
262,Bradley (MVC),32,7-25,"2,256",70.5
237,Brown (Ivy League),31,8-23,"2,154",69.5
36,Bucknell (Patriot),35,25-10,"2,147",61.3
184,Buffalo (MAC),31,20-11,"2,090",67.4
29,Butler (Horizon),37,22-15,"2,245",60.7
182,BYU (WCC),35,26-9,"2,358",67.4
24,Cal Poly (Big West),33,18-15,"1,998",60.5
271,Cal St. Fullerton (Big West),31,21-10,"2,205",71.1
45,California (Pac-12),34,24-10,"2,104",61.9
307,Campbell (Big South),32,17-15,"2,361",73.8
323,Canisius (MAAC),30,5-25,"2,271",75.7
337,Central Ark. (Southland),29,8-21,"2,371",81.8
258,Central Conn. St. (NEC),29,13-16,"2,038",70.3
163,Central Mich. (MAC),32,11-21,"2,134",66.7
288,Charleston So. (Big South),31,19-12,"2,242",72.3
225,Charlotte (Atlantic 10),30,13-17,"2,066",68.9
226,Chattanooga (SoCon),32,11-21,"2,204",68.9
329,Chicago St. (GWC),30,4-26,"2,313",77.1
40,Cincinnati (AAC),37,26-11,"2,276",61.5
27,Clemson (ACC),31,16-15,"1,880",60.6
21,Cleveland St. (Horizon),33,22-11,"1,983",60.1
131,Coastal Carolina (Big South),31,19-12,"2,042",65.9
211,Col. of Charleston (SoCon),31,19-12,"2,117",68.3
306,Colgate (Patriot),30,8-22,"2,209",73.6
203,Colorado St. (Mountain West),32,20-12,"2,177",68
70,Colorado (Pac-12),36,24-12,"2,269",63
51,Columbia (Ivy League),30,15-15,"1,863",62.1
319,Coppin St. (MEAC),30,14-16,"2,257",75.2
197,Cornell (Ivy League),28,12-16,"1,898",67.8
242,Creighton (MVC),35,29-6,"2,439",69.7
237,CSU Bakersfield (Independent),31,16-15,"2,154",69.5
316,CSUN (Big West),28,7-21,"2,101",75
79,Dartmouth (Ivy League),30,5-25,"1,904",63.5
198,Davidson (SoCon),33,25-8,"2,238",67.8
188,Dayton (Atlantic 10),33,20-13,"2,231",67.6
98,Delaware St. (MEAC),29,15-14,"1,868",64.4
216,Delaware (CAA),32,18-14,"2,188",68.4
23,Denver (Sun Belt),31,22-9,"1,876",60.5
326,DePaul (AAC),31,12-19,"2,378",76.7
186,Detroit Mercy (Horizon),36,22-14,"2,432",67.6
166,Drake (MVC),34,18-16,"2,271",66.8
5,Drexel (CAA),36,29-7,"2,020",56.1
222,Duke (ACC),34,27-7,"2,334",68.6
283,Duquesne (Atlantic 10),31,16-15,"2,232",72
114,East Carolina (C-USA),31,15-16,"2,019",65.1
217,Eastern Ill. (OVC),29,12-17,"1,984",68.4
146,Eastern Ky. (OVC),32,16-16,"2,117",66.2
10,Eastern Mich. (MAC),32,14-18,"1,878",58.7
275,Eastern Wash. (Big Sky),32,15-17,"2,284",71.4
281,Elon (SoCon),31,15-16,"2,226",71.8
113,ETSU (ASUN),31,17-14,"2,017",65.1
294,Evansville (MVC),32,16-16,"2,325",72.7
34,Fairfield (MAAC),37,22-15,"2,259",61.1
296,Fairleigh Dickinson (NEC),29,3-26,"2,108",72.7
285,FGCU (ASUN),32,15-17,"2,306",72.1
179,FIU (Sun Belt),29,8-21,"1,951",67.3
208,Fla. Atlantic (Sun Belt),30,11-19,"2,046",68.2
304,Florida A&M (MEAC),33,10-23,"2,416",73.2
66,Florida St. (ACC),35,25-10,"2,201",62.9
107,Florida (SEC),37,26-11,"2,404",65
278,Fordham (Atlantic 10),29,10-19,"2,074",71.5
143,Fresno St. (WAC),33,13-20,"2,181",66.1
116,Furman (SoCon),31,15-16,"2,022",65.2
195,Ga. Southern (SoCon),30,15-15,"2,033",67.8
167,Gardner-Webb (Big South),32,12-20,"2,138",66.8
105,George Mason (CAA),33,24-9,"2,142",64.9
164,George Washington (Atlantic 10),31,10-21,"2,069",66.7
16,Georgetown (AAC),33,24-9,"1,959",59.4
11,Georgia St. (CAA),34,22-12,"2,003",58.9
59,Georgia Tech (ACC),31,11-20,"1,940",62.6
68,Georgia (SEC),32,15-17,"2,015",63
76,Gonzaga (WCC),33,26-7,"2,086",63.2
277,Grambling (SWAC),28,4-24,"2,001",71.5
142,Green Bay (Horizon),30,15-15,"1,982",66.1
168,Hampton (MEAC),33,12-21,"2,205",66.8
177,Hartford (America East),31,9-22,"2,084",67.2
4,Harvard (Ivy League),31,26-5,"1,724",55.6
311,Hawaii (WAC),32,16-16,"2,387",74.6
256,High Point (Big South),31,13-18,"2,176",70.2
176,Hofstra (CAA),32,10-22,"2,151",67.2
169,Holy Cross (Patriot),29,15-14,"1,938",66.8
333,Houston Baptist (GWC),30,10-20,"2,344",78.1
279,Houston (C-USA),30,15-15,"2,147",71.6
253,Howard (MEAC),31,10-21,"2,174",70.1
303,Idaho St. (Big Sky),30,9-21,"2,192",73.1
199,Idaho (WAC),33,19-14,"2,240",67.9
137,Illinois St. (MVC),35,21-14,"2,310",66
93,Illinois (Big Ten),32,17-15,"2,055",64.2
104,Indiana St. (MVC),33,18-15,"2,141",64.9
158,Indiana (Big Ten),36,27-9,"2,392",66.4
298,Iona (MAAC),33,25-8,"2,400",72.7
178,Iowa St. (Big 12),34,23-11,"2,286",67.2
292,Iowa (Big Ten),35,18-17,"2,537",72.5
299,IUPUI (Summit League),32,14-18,"2,329",72.8
131,Jackson St. (SWAC),31,7-24,"2,042",65.9
83,Jacksonville St. (OVC),33,15-18,"2,106",63.8
290,Jacksonville (ASUN),30,8-22,"2,173",72.4
248,James Madison (CAA),32,12-20,"2,235",69.8
270,Kansas City (Summit League),31,10-21,"2,204",71.1
90,Kansas St. (Big 12),33,22-11,"2,114",64.1
44,Kansas (Big 12),39,32-7,"2,407",61.7
318,Kennesaw St. (ASUN),31,3-28,"2,330",75.2
137,Kent St. (MAC),33,21-12,"2,178",66
25,Kentucky (SEC),40,38-2,"2,423",60.6
145,La Salle (Atlantic 10),34,21-13,"2,249",66.1
300,Lafayette (Patriot),31,13-18,"2,260",72.9
124,Lamar University (Southland),35,23-12,"2,296",65.6
118,Lehigh (Patriot),35,27-8,"2,288",65.4
273,Liberty (Big South),32,14-18,"2,283",71.3
309,Lipscomb (ASUN),31,13-18,"2,303",74.3
91,Little Rock (Sun Belt),31,15-16,"1,990",64.2
331,LIU (NEC),34,25-9,"2,641",77.7
192,LMU (CA) (WCC),34,21-13,"2,301",67.7
89,Long Beach St. (Big West),34,25-9,"2,175",64
338,Longwood (Independent),31,10-21,"2,617",84.4
234,Louisiana Tech (WAC),34,18-16,"2,355",69.3
181,Louisiana (Sun Belt),32,16-16,"2,155",67.3
32,Louisville (AAC),40,30-10,"2,440",61
67,Loyola Chicago (Horizon),30,7-23,"1,887",62.9
95,Loyola Maryland (MAAC),33,24-9,"2,120",64.2
92,LSU (SEC),33,18-15,"2,119",64.2
214,Maine (America East),29,12-17,"1,982",68.3
123,Manhattan (MAAC),34,21-13,"2,230",65.6
301,Marist (MAAC),32,14-18,"2,333",72.9
136,Marquette (AAC),35,27-8,"2,308",65.9
204,Marshall (C-USA),35,21-14,"2,383",68.1
265,Maryland (ACC),32,17-15,"2,263",70.7
289,Massachusetts (Atlantic 10),37,25-12,"2,680",72.4
149,McNeese (Southland),33,17-16,"2,185",66.2
72,Memphis (C-USA),35,26-9,"2,208",63.1
65,Mercer (ASUN),38,27-11,"2,388",62.8
143,Miami (FL) (ACC),33,20-13,"2,181",66.1
94,Miami (OH) (MAC),30,9-21,"1,927",64.2
15,Michigan St. (Big Ten),37,29-8,"2,195",59.3
38,Michigan (Big Ten),34,24-10,"2,090",61.5
60,Middle Tenn. (Sun Belt),34,27-7,"2,128",62.6
58,Milwaukee (Horizon),34,20-14,"2,126",62.5
102,Minnesota (Big Ten),38,23-15,"2,462",64.8
194,Mississippi St. (SEC),33,21-12,"2,236",67.8
228,Mississippi Val. (SWAC),34,21-13,"2,345",69
68,Missouri St. (MVC),32,16-16,"2,015",63
153,Missouri (Big 12),35,30-5,"2,321",66.3
322,Monmouth (NEC),32,12-20,"2,420",75.6
283,Montana St. (Big Sky),29,12-17,"2,088",72
49,Montana (Big Sky),32,25-7,"1,985",62
35,Morehead St. (OVC),33,18-15,"2,018",61.2
240,Morgan St. (MEAC),29,9-20,"2,017",69.6
171,Mount St. Mary's (NEC),29,8-21,"1,946",67.1
26,Murray St. (OVC),33,31-2,"2,001",60.6
295,N.C. A&T (MEAC),32,12-20,"2,326",72.7
74,N.C. Central (MEAC),32,17-15,"2,020",63.1
148,Navy (Patriot),29,3-26,"1,920",66.2
187,NC State (ACC),37,24-13,"2,501",67.6
125,Nebraska (Big Ten),30,12-18,"1,969",65.6
111,Nevada (WAC),35,28-7,"2,277",65.1
63,New Hampshire (America East),29,13-16,"1,821",62.8
212,New Mexico St. (WAC),36,26-10,"2,459",68.3
14,New Mexico (Mountain West),35,28-7,"2,076",59.3
308,Niagara (MAAC),33,14-19,"2,448",74.2
332,Nicholls (Southland),30,10-20,"2,338",77.9
202,NJIT (GWC),32,15-17,"2,175",68
172,Norfolk St. (MEAC),36,26-10,"2,416",67.1
170,North Carolina (ACC),38,32-6,"2,549",67.1
215,North Dakota St. (Summit League),31,17-14,"2,119",68.4
267,North Florida (ASUN),32,16-16,"2,266",70.8
108,North Texas (Sun Belt),32,18-14,"2,080",65
121,Northeastern (CAA),31,14-17,"2,030",65.5
272,Northern Ariz. (Big Sky),29,5-24,"2,068",71.3
320,Northern Colo. (Big Sky),28,9-19,"2,112",75.4
189,Northern Ill. (MAC),31,5-26,"2,096",67.6
250,Northwestern St. (Southland),32,16-16,"2,239",70
209,Northwestern (Big Ten),33,19-14,"2,252",68.2
43,Notre Dame (AAC),34,22-12,"2,095",61.6
335,Oakland (Summit League),36,20-16,"2,831",78.6
18,Ohio St. (Big Ten),39,31-8,"2,333",59.8
55,Ohio (MAC),37,29-8,"2,311",62.5
206,Oklahoma St. (Big 12),33,15-18,"2,247",68.1
