Rank,Team,GM,W-L,AST,APG
267,A&M-Corpus Christi (Southland),30,6-24,347,11.6
79,Air Force (Mountain West),29,13-16,403,13.9
73,Akron (MAC),34,22-12,475,14
284,Alabama A&M (SWAC),28,7-21,314,11.2
272,Alabama St. (SWAC),31,12-19,357,11.5
223,Alabama (SEC),33,21-12,402,12.2
199,Albany (NY) (America East),34,19-15,424,12.5
335,Alcorn (SWAC),32,10-22,292,9.1
188,American (Patriot),32,20-12,404,12.6
220,App State (SoCon),31,13-18,379,12.2
225,Arizona St. (Pac-12),31,10-21,377,12.2
111,Arizona (Pac-12),35,23-12,473,13.5
290,Ark.-Pine Bluff (SWAC),33,11-22,367,11.1
329,Arkansas St. (Sun Belt),34,14-20,329,9.7
99,Arkansas (SEC),32,18-14,436,13.6
116,Army West Point (Patriot),30,12-18,403,13.4
201,Auburn (SEC),31,15-16,386,12.5
228,Austin Peay (OVC),32,12-20,388,12.1
126,Ball St. (MAC),30,15-15,400,13.3
32,Baylor (Big 12),38,30-8,570,15
5,Belmont (ASUN),35,27-8,606,17.3
249,Bethune-Cookman (MEAC),35,18-17,416,11.9
286,Binghamton (America East),31,2-29,346,11.2
271,Boise St. (Mountain West),30,13-17,346,11.5
270,Boston College (ACC),31,9-22,358,11.5
265,Boston U. (America East),32,16-16,371,11.6
91,Bowling Green (MAC),32,16-16,438,13.7
307,Bradley (MVC),32,7-25,343,10.7
130,Brown (Ivy League),31,8-23,412,13.3
96,Bucknell (Patriot),35,25-10,478,13.7
9,Buffalo (MAC),31,20-11,511,16.5
215,Butler (Horizon),37,22-15,454,12.3
6,BYU (WCC),35,26-9,599,17.1
187,Cal Poly (Big West),33,18-15,417,12.6
34,Cal St. Fullerton (Big West),31,21-10,464,15
13,California (Pac-12),34,24-10,540,15.9
20,Campbell (Big South),32,17-15,496,15.5
301,Canisius (MAAC),30,5-25,327,10.9
46,Central Ark. (Southland),29,8-21,426,14.7
105,Central Conn. St. (NEC),29,13-16,393,13.6
321,Central Mich. (MAC),32,11-21,329,10.3
174,Charleston So. (Big South),31,19-12,396,12.8
148,Charlotte (Atlantic 10),30,13-17,392,13.1
62,Chattanooga (SoCon),32,11-21,456,14.3
309,Chicago St. (GWC),30,4-26,320,10.7
157,Cincinnati (AAC),37,26-11,479,12.9
186,Clemson (ACC),31,16-15,392,12.6
92,Cleveland St. (Horizon),33,22-11,451,13.7
143,Coastal Carolina (Big South),31,19-12,407,13.1
243,Col. of Charleston (SoCon),31,19-12,370,11.9
229,Colgate (Patriot),30,8-22,363,12.1
226,Colorado St. (Mountain West),32,20-12,389,12.2
258,Colorado (Pac-12),36,24-12,422,11.7
182,Columbia (Ivy League),30,15-15,380,12.7
41,Coppin St. (MEAC),30,14-16,443,14.8
107,Cornell (Ivy League),28,12-16,379,13.5
2,Creighton (MVC),35,29-6,616,17.6
65,CSU Bakersfield (Independent),31,16-15,439,14.2
122,CSUN (Big West),28,7-21,375,13.4
328,Dartmouth (Ivy League),30,5-25,291,9.7
85,Davidson (SoCon),33,25-8,455,13.8
58,Dayton (Atlantic 10),33,20-13,472,14.3
254,Delaware St. (MEAC),29,15-14,342,11.8
332,Delaware (CAA),32,18-14,302,9.4
16,Denver (Sun Belt),31,22-9,484,15.6
25,DePaul (AAC),31,12-19,474,15.3
164,Detroit Mercy (Horizon),36,22-14,463,12.9
320,Drake (MVC),34,18-16,350,10.3
167,Drexel (CAA),36,29-7,462,12.8
202,Duke (ACC),34,27-7,423,12.4
28,Duquesne (Atlantic 10),31,16-15,473,15.3
51,East Carolina (C-USA),31,15-16,452,14.6
138,Eastern Ill. (OVC),29,12-17,383,13.2
253,Eastern Ky. (OVC),32,16-16,378,11.8
330,Eastern Mich. (MAC),32,14-18,309,9.7
222,Eastern Wash. (Big Sky),32,15-17,390,12.2
143,Elon (SoCon),31,15-16,407,13.1
317,ETSU (ASUN),31,17-14,323,10.4
12,Evansville (MVC),32,16-16,509,15.9
36,Fairfield (MAAC),37,22-15,553,14.9
291,Fairleigh Dickinson (NEC),29,3-26,322,11.1
123,FGCU (ASUN),32,15-17,428,13.4
333,FIU (Sun Belt),29,8-21,271,9.3
176,Fla. Atlantic (Sun Belt),30,11-19,382,12.7
316,Florida A&M (MEAC),33,10-23,344,10.4
221,Florida St. (ACC),35,25-10,427,12.2
38,Florida (SEC),37,26-11,551,14.9
240,Fordham (Atlantic 10),29,10-19,347,12
280,Fresno St. (WAC),33,13-20,373,11.3
300,Furman (SoCon),31,15-16,338,10.9
207,Ga. Southern (SoCon),30,15-15,371,12.4
256,Gardner-Webb (Big South),32,12-20,376,11.8
159,George Mason (CAA),33,24-9,427,12.9
211,George Washington (Atlantic 10),31,10-21,382,12.3
92,Georgetown (AAC),33,24-9,451,13.7
193,Georgia St. (CAA),34,22-12,427,12.6
298,Georgia Tech (ACC),31,11-20,340,11
297,Georgia (SEC),32,15-17,351,11
85,Gonzaga (WCC),33,26-7,455,13.8
336,Grambling (SWAC),28,4-24,246,8.8
209,Green Bay (Horizon),30,15-15,370,12.3
309,Hampton (MEAC),33,12-21,352,10.7
146,Hartford (America East),31,9-22,406,13.1
160,Harvard (Ivy League),31,26-5,401,12.9
40,Hawaii (WAC),32,16-16,475,14.8
194,High Point (Big South),31,13-18,389,12.5
226,Hofstra (CAA),32,10-22,389,12.2
185,Holy Cross (Patriot),29,15-14,367,12.7
203,Houston Baptist (GWC),30,10-20,373,12.4
133,Houston (C-USA),30,15-15,398,13.3
334,Howard (MEAC),31,10-21,283,9.1
239,Idaho St. (Big Sky),30,9-21,359,12
43,Idaho (WAC),33,19-14,486,14.7
145,Illinois St. (MVC),35,21-14,459,13.1
198,Illinois (Big Ten),32,17-15,400,12.5
235,Indiana St. (MVC),33,18-15,397,12
110,Indiana (Big Ten),36,27-9,487,13.5
1,Iona (MAAC),33,25-8,638,19.3
63,Iowa St. (Big 12),34,23-11,484,14.2
39,Iowa (Big Ten),35,18-17,521,14.9
259,IUPUI (Summit League),32,14-18,375,11.7
337,Jackson St. (SWAC),31,7-24,258,8.3
231,Jacksonville St. (OVC),33,15-18,399,12.1
229,Jacksonville (ASUN),30,8-22,363,12.1
123,James Madison (CAA),32,12-20,428,13.4
218,Kansas City (Summit League),31,10-21,380,12.3
64,Kansas St. (Big 12),33,22-11,468,14.2
31,Kansas (Big 12),39,32-7,587,15.1
232,Kennesaw St. (ASUN),31,3-28,374,12.1
42,Kent St. (MAC),33,21-12,487,14.8
131,Kentucky (SEC),40,38-2,531,13.3
50,La Salle (Atlantic 10),34,21-13,496,14.6
204,Lafayette (Patriot),31,13-18,385,12.4
169,Lamar University (Southland),35,23-12,448,12.8
153,Lehigh (Patriot),35,27-8,456,13
89,Liberty (Big South),32,14-18,439,13.7
66,Lipscomb (ASUN),31,13-18,438,14.1
315,Little Rock (Sun Belt),31,15-16,324,10.5
44,LIU (NEC),34,25-9,500,14.7
250,LMU (CA) (WCC),34,21-13,404,11.9
71,Long Beach St. (Big West),34,25-9,476,14
18,Longwood (Independent),31,10-21,481,15.5
156,Louisiana Tech (WAC),34,18-16,441,13
268,Louisiana (Sun Belt),32,16-16,370,11.6
129,Louisville (AAC),40,30-10,532,13.3
216,Loyola Chicago (Horizon),30,7-23,368,12.3
245,Loyola Maryland (MAAC),33,24-9,393,11.9
191,LSU (SEC),33,18-15,415,12.6
67,Maine (America East),29,12-17,408,14.1
48,Manhattan (MAAC),34,21-13,497,14.6
233,Marist (MAAC),32,14-18,385,12
8,Marquette (AAC),35,27-8,580,16.6
180,Marshall (C-USA),35,21-14,444,12.7
311,Maryland (ACC),32,17-15,339,10.6
26,Massachusetts (Atlantic 10),37,25-12,565,15.3
312,McNeese (Southland),33,17-16,349,10.6
55,Memphis (C-USA),35,26-9,506,14.5
95,Mercer (ASUN),38,27-11,519,13.7
251,Miami (FL) (ACC),33,20-13,392,11.9
263,Miami (OH) (MAC),30,9-21,351,11.7
24,Michigan St. (Big Ten),37,29-8,566,15.3
181,Michigan (Big Ten),34,24-10,431,12.7
21,Middle Tenn. (Sun Belt),34,27-7,525,15.4
196,Milwaukee (Horizon),34,20-14,426,12.5
30,Minnesota (Big Ten),38,23-15,573,15.1
125,Mississippi St. (SEC),33,21-12,441,13.4
134,Mississippi Val. (SWAC),34,21-13,451,13.3
108,Missouri St. (MVC),32,16-16,433,13.5
11,Missouri (Big 12),35,30-5,566,16.2
88,Monmouth (NEC),32,12-20,441,13.8
152,Montana St. (Big Sky),29,12-17,378,13
99,Montana (Big Sky),32,25-7,436,13.6
241,Morehead St. (OVC),33,18-15,394,11.9
255,Morgan St. (MEAC),29,9-20,341,11.8
273,Mount St. Mary's (NEC),29,8-21,332,11.4
182,Murray St. (OVC),33,31-2,418,12.7
173,N.C. A&T (MEAC),32,12-20,409,12.8
68,N.C. Central (MEAC),32,17-15,450,14.1
274,Navy (Patriot),29,3-26,331,11.4
17,NC State (ACC),37,24-13,577,15.6
179,Nebraska (Big Ten),30,12-18,381,12.7
165,Nevada (WAC),35,28-7,450,12.9
326,New Hampshire (America East),29,13-16,285,9.8
82,New Mexico St. (WAC),36,26-10,498,13.8
10,New Mexico (Mountain West),35,28-7,573,16.4
245,Niagara (MAAC),33,14-19,393,11.9
224,Nicholls (Southland),30,10-20,365,12.2
327,NIU (MAC),31,5-26,304,9.8
161,NJIT (GWC),32,15-17,413,12.9
237,Norfolk St. (MEAC),36,26-10,431,12
4,North Carolina (ACC),38,32-6,659,17.3
102,North Dakota St. (Summit League),31,17-14,421,13.6
219,North Florida (ASUN),32,16-16,392,12.3
233,North Texas (Sun Belt),32,18-14,385,12
247,Northeastern (CAA),31,14-17,369,11.9
69,Northern Ariz. (Big Sky),29,5-24,407,14
200,Northern Colo. (Big Sky),28,9-19,349,12.5
151,Northwestern St. (Southland),32,16-16,418,13.1
19,Northwestern (Big Ten),33,19-14,512,15.5
48,Notre Dame (AAC),34,22-12,497,14.6
136,Oakland (Summit League),36,20-16,476,13.2
52,Ohio St. (Big Ten),39,31-8,568,14.6
142,Ohio (MAC),37,29-8,488,13.2
276,Oklahoma St. (Big 12),33,15-18,376,11.4
78,Oklahoma (Big 12),31,15-16,431,13.9
182,Old Dominion (CAA),36,22-14,456,12.7
285,Ole Miss (SEC),34,20-14,380,11.2
112,Oral Roberts (Summit League),34,27-7,459,13.5
15,Oregon St. (Pac-12),36,21-15,567,15.8
61,Oregon (Pac-12),34,24-10,485,14.3
195,Pacific (Big West),30,11-19,376,12.5
305,Penn St. (Big Ten),32,12-20,344,10.8
106,Penn (Ivy League),33,20-13,447,13.5
208,Pepperdine (WCC),29,10-19,358,12.3
29,Pittsburgh (AAC),39,22-17,593,15.2
268,Portland St. (Big Sky),32,17-15,370,11.6
252,Portland (WCC),31,7-24,368,11.9
303,Prairie View (SWAC),32,14-18,346,10.8
53,Princeton (Ivy League),32,20-12,465,14.5
101,Providence (AAC),32,15-17,435,13.6
92,Purdue Fort Wayne (Summit League),30,11-19,410,13.7
118,Purdue (Big Ten),35,22-13,470,13.4
205,Quinnipiac (NEC),32,18-14,397,12.4
305,Radford (Big South),32,6-26,344,10.8
283,Rhode Island (Atlantic 10),31,7-24,348,11.2
47,Rice (C-USA),35,19-16,513,14.7
205,Richmond (Atlantic 10),32,16-16,397,12.4
81,Rider (MAAC),32,13-19,443,13.8
128,Robert Morris (NEC),37,26-11,493,13.3
178,Rutgers (AAC),32,14-18,407,12.7
87,Sacramento St. (Big Sky),28,10-18,386,13.8
77,Sacred Heart (NEC),32,14-18,446,13.9
197,Saint Francis (PA) (NEC),29,6-23,363,12.5
54,Saint Joseph's (Atlantic 10),34,20-14,493,14.5
112,Saint Louis (Atlantic 10),34,26-8,459,13.5
14,Saint Mary's (CA) (WCC),33,27-6,520,15.8
190,Saint Peter's (MAAC),31,5-26,390,12.6
175,Sam Houston (Southland),32,13-19,408,12.8
75,Samford (SoCon),30,11-19,419,14
217,San Diego St. (Mountain West),34,26-8,417,12.3
102,San Diego (WCC),31,13-18,421,13.6
83,San Francisco (WCC),34,20-14,470,13.8
120,San Jose St. (WAC),31,9-22,416,13.4
169,Santa Clara (WCC),30,8-22,384,12.8
171,Savannah St. (MEAC),33,21-12,422,12.8
71,Seton Hall (AAC),34,21-13,476,14
84,SFA (Southland),32,20-12,442,13.8
189,Siena (MAAC),31,14-17,391,12.6
242,SMU (C-USA),32,13-19,382,11.9
287,South Alabama (Sun Belt),29,17-12,323,11.1
314,South Carolina St. (MEAC),31,5-26,327,10.5
324,South Carolina (SEC),31,10-21,309,10
60,South Dakota St. (Summit League),35,27-8,500,14.3
256,South Fla. (AAC),36,22-14,423,11.8
37,Southeast Mo. St. (OVC),31,15-16,462,14.9
292,Southeastern La. (Southland),29,12-17,321,11.1
331,Southern California (Pac-12),32,6-26,305,9.5
261,Southern Ill. (MVC),31,8-23,363,11.7
295,Southern Miss. (C-USA),34,25-9,374,11
293,Southern U. (SWAC),31,17-14,342,11
59,Southern Utah (Summit League),31,14-17,443,14.3
80,St. Bonaventure (Atlantic 10),32,20-12,444,13.9
148,St. Francis Brooklyn (NEC),30,15-15,392,13.1
304,St. John's (NY) (AAC),32,13-19,345,10.8
163,Stanford (Pac-12),37,26-11,476,12.9
35,Stetson (ASUN),29,9-20,434,15
294,Stony Brook (America East),32,22-10,353,11
26,Syracuse (AAC),37,34-3,565,15.3
114,TCU (Mountain West),33,18-15,445,13.5
22,Temple (Atlantic 10),32,24-8,493,15.4
191,Tennessee St. (OVC),33,20-13,415,12.6
98,Tennessee Tech (OVC),33,19-14,450,13.6
168,Tennessee (SEC),34,19-15,436,12.8
259,Texas A&M (Big 12),32,14-18,375,11.7
322,Texas Southern (SWAC),33,15-18,331,10
75,Texas St. (Southland),30,13-17,419,14
288,Texas Tech (Big 12),31,8-23,345,11.1
210,Texas (Big 12),34,20-14,419,12.3
126,The Citadel (SoCon),30,6-24,400,13.3
154,Toledo (MAC),36,19-17,469,13
338,Towson (CAA),32,1-31,261,8.2
165,Troy (Sun Belt),28,10-18,360,12.9
214,Tulane (C-USA),31,15-16,381,12.3
288,Tulsa (C-USA),31,17-14,345,11.1
279,UAB (C-USA),31,15-16,352,11.4
238,UC Davis (Big West),31,5-26,371,12
22,UC Irvine (Big West),32,12-20,493,15.4
325,UC Riverside (Big West),31,14-17,308,9.9
32,UC Santa Barbara (Big West),31,20-11,465,15
278,UCF (C-USA),33,22-11,375,11.4
57,UCLA (Pac-12),33,19-14,473,14.3
115,UConn (AAC),34,20-14,457,13.4
277,UIC (Horizon),30,8-22,341,11.4
274,ULM (Sun Belt),29,3-26,331,11.4
319,UMBC (America East),30,4-26,309,10.3
313,UMES (MEAC),30,7-23,317,10.6
7,UNC Asheville (Big South),34,24-10,566,16.6
265,UNC Greensboro (SoCon),32,13-19,371,11.6
243,UNCW (CAA),31,10-21,370,11.9
282,UNI (MVC),34,20-14,384,11.3
2,UNLV (Mountain West),35,26-9,616,17.6
158,USC Upstate (ASUN),34,21-13,440,12.9
121,UT Arlington (Southland),33,24-9,442,13.4
155,UT Martin (OVC),31,4-27,403,13
117,Utah St. (WAC),37,21-16,497,13.4
119,Utah Valley (GWC),33,20-13,443,13.4
318,Utah (Pac-12),31,6-25,320,10.3
74,UTEP (C-USA),32,15-17,447,14
137,UTRGV (GWC),32,11-21,423,13.2
108,UTSA (Southland),32,18-14,433,13.5
90,Valparaiso (Horizon),34,22-12,466,13.7
177,Vanderbilt (SEC),36,25-11,458,12.7
236,VCU (CAA),36,29-7,433,12
141,Vermont (America East),36,24-12,475,13.2
212,Villanova (AAC),32,13-19,394,12.3
264,Virginia Tech (ACC),33,16-17,386,11.7
212,Virginia (ACC),32,22-10,394,12.3
132,VMI (Big South),33,17-16,438,13.3
162,Wagner (NEC),31,25-6,400,12.9
261,Wake Forest (ACC),31,13-18,363,11.7
97,Washington St. (Pac-12),37,19-18,505,13.6
104,Washington (Pac-12),35,24-11,475,13.6
135,Weber St. (Big Sky),32,25-7,424,13.3
56,West Virginia (AAC),33,19-14,477,14.5
302,Western Caro. (SoCon),35,17-18,380,10.9
171,Western Ill. (Summit League),33,18-15,422,12.8
295,Western Ky. (Sun Belt),35,16-19,385,11
140,Western Mich. (MAC),34,14-20,449,13.2
45,Wichita St. (MVC),33,27-6,485,14.7
307,William & Mary (CAA),32,6-26,343,10.7
299,Winthrop (Big South),32,12-20,349,10.9
248,Wisconsin (Big Ten),36,26-10,428,11.9
70,Wofford (SoCon),33,19-14,463,14
323,Wright St. (Horizon),32,13-19,319,10
280,Wyoming (Mountain West),33,21-12,373,11.3
147,Xavier (Atlantic 10),36,23-13,471,13.1
138,Yale (Ivy League),29,19-10,383,13.2
150,Youngstown St. (Horizon),31,16-15,405,13.1
